2024-09-16-21-29: epoch: 36 |tot 1.785383 | hm 0.681475 | wh 1.253594 | reg 0.221556 | ltrb_amodal 1.220959 | tracking 0.634897 | time 9.133333 | 
2024-09-16-21-39: epoch: 37 |tot 1.793827 | hm 0.685753 | wh 1.245359 | reg 0.221669 | ltrb_amodal 1.260235 | tracking 0.635846 | time 9.100000 | 
2024-09-16-21-48: epoch: 38 |tot 1.772699 | hm 0.664242 | wh 1.224454 | reg 0.220826 | ltrb_amodal 1.234285 | tracking 0.641756 | time 9.116667 | 
2024-09-16-21-57: epoch: 39 |tot 1.757615 | hm 0.654896 | wh 1.252335 | reg 0.219115 | ltrb_amodal 1.234797 | tracking 0.634890 | time 9.083333 | 
2024-09-16-22-06: epoch: 40 |tot 1.743492 | hm 0.645044 | wh 1.185854 | reg 0.218957 | ltrb_amodal 1.238086 | tracking 0.637097 | time 9.116667 | 
2024-09-16-22-15: epoch: 41 |tot 1.699734 | hm 0.619829 | wh 1.154577 | reg 0.217025 | ltrb_amodal 1.145037 | tracking 0.632919 | time 9.116667 | 
2024-09-16-22-24: epoch: 42 |tot 1.718939 | hm 0.625696 | wh 1.191384 | reg 0.218142 | ltrb_amodal 1.189190 | tracking 0.637044 | time 9.116667 | 
2024-09-16-22-33: epoch: 43 |tot 1.700936 | hm 0.604758 | wh 1.207347 | reg 0.216663 | ltrb_amodal 1.221331 | tracking 0.636647 | time 9.033333 | 
2024-09-16-22-42: epoch: 44 |tot 1.677996 | hm 0.599006 | wh 1.133605 | reg 0.216378 | ltrb_amodal 1.168817 | tracking 0.632370 | time 9.033333 | 
2024-09-16-22-51: epoch: 45 |tot 1.655340 | hm 0.583900 | wh 1.148005 | reg 0.216049 | ltrb_amodal 1.154274 | tracking 0.625162 | time 9.000000 | 
2024-09-16-23-01: epoch: 46 |tot 1.663664 | hm 0.584912 | wh 1.138175 | reg 0.215389 | ltrb_amodal 1.156154 | tracking 0.633929 | time 9.033333 | 
2024-09-16-23-10: epoch: 47 |tot 1.637698 | hm 0.566904 | wh 1.119476 | reg 0.215214 | ltrb_amodal 1.146443 | tracking 0.628988 | time 9.016667 | 
2024-09-16-23-19: epoch: 48 |tot 1.632336 | hm 0.562386 | wh 1.101326 | reg 0.213250 | ltrb_amodal 1.144692 | tracking 0.632100 | time 9.000000 | 
2024-09-16-23-28: epoch: 49 |tot 1.596452 | hm 0.550246 | wh 1.076310 | reg 0.213232 | ltrb_amodal 1.093205 | tracking 0.616023 | time 9.016667 | 
2024-09-16-23-37: epoch: 50 |tot 1.604682 | hm 0.549054 | wh 1.072796 | reg 0.213784 | ltrb_amodal 1.086676 | tracking 0.625897 | time 9.016667 | 
2024-09-16-23-46: epoch: 51 |tot 1.595934 | hm 0.542633 | wh 1.088084 | reg 0.212167 | ltrb_amodal 1.124858 | tracking 0.619840 | time 8.983333 | 
2024-09-16-23-55: epoch: 52 |tot 1.590680 | hm 0.527213 | wh 1.137570 | reg 0.211694 | ltrb_amodal 1.108031 | tracking 0.627213 | time 9.033333 | 
2024-09-17-00-04: epoch: 53 |tot 1.580773 | hm 0.528495 | wh 1.076130 | reg 0.210542 | ltrb_amodal 1.053495 | tracking 0.628773 | time 9.016667 | 
2024-09-17-00-13: epoch: 54 |tot 1.547273 | hm 0.513580 | wh 1.044420 | reg 0.208511 | ltrb_amodal 1.024994 | tracking 0.618241 | time 9.000000 | 
2024-09-17-00-22: epoch: 55 |tot 1.546564 | hm 0.510760 | wh 1.020879 | reg 0.209346 | ltrb_amodal 0.998664 | tracking 0.624503 | time 9.033333 | 
2024-09-17-00-31: epoch: 56 |tot 1.539442 | hm 0.502145 | wh 1.056897 | reg 0.208332 | ltrb_amodal 1.015301 | tracking 0.621745 | time 9.100000 | 
2024-09-17-00-40: epoch: 57 |tot 1.520824 | hm 0.496084 | wh 1.029737 | reg 0.208806 | ltrb_amodal 0.979403 | tracking 0.615021 | time 8.933333 | 
2024-09-17-00-49: epoch: 58 |tot 1.512930 | hm 0.486870 | wh 1.005920 | reg 0.208843 | ltrb_amodal 0.932783 | tracking 0.623347 | time 8.950000 | 
2024-09-17-00-58: epoch: 59 |tot 1.516474 | hm 0.489788 | wh 1.011358 | reg 0.207131 | ltrb_amodal 0.938129 | tracking 0.624607 | time 8.900000 | 
2024-09-17-01-07: epoch: 60 |tot 1.493926 | hm 0.477736 | wh 0.991291 | reg 0.206539 | ltrb_amodal 0.930373 | tracking 0.617485 | time 8.933333 | 
2024-09-17-01-16: epoch: 61 |tot 1.425568 | hm 0.446212 | wh 0.880740 | reg 0.201718 | ltrb_amodal 0.853367 | tracking 0.604227 | time 8.950000 | 
2024-09-17-01-25: epoch: 62 |tot 1.393898 | hm 0.427227 | wh 0.847691 | reg 0.197837 | ltrb_amodal 0.831368 | tracking 0.600928 | time 9.050000 | 
2024-09-17-01-34: epoch: 63 |tot 1.368316 | hm 0.419364 | wh 0.814273 | reg 0.198073 | ltrb_amodal 0.794587 | tracking 0.589993 | time 9.016667 | 
2024-09-17-01-43: epoch: 64 |tot 1.371488 | hm 0.413420 | wh 0.820156 | reg 0.198479 | ltrb_amodal 0.788291 | tracking 0.598744 | time 9.016667 | 
2024-09-17-01-52: epoch: 65 |tot 1.358265 | hm 0.407445 | wh 0.810186 | reg 0.196349 | ltrb_amodal 0.790269 | tracking 0.594424 | time 9.033333 | 
2024-09-17-02-01: epoch: 66 |tot 1.357680 | hm 0.404337 | wh 0.812760 | reg 0.196048 | ltrb_amodal 0.795750 | tracking 0.596443 | time 9.000000 | 
2024-09-17-02-10: epoch: 67 |tot 1.364224 | hm 0.407824 | wh 0.813812 | reg 0.195164 | ltrb_amodal 0.821094 | tracking 0.597746 | time 8.950000 | 
2024-09-17-02-19: epoch: 68 |tot 1.342151 | hm 0.397123 | wh 0.792618 | reg 0.194323 | ltrb_amodal 0.764181 | tracking 0.595024 | time 8.933333 | 
2024-09-17-02-28: epoch: 69 |tot 1.344403 | hm 0.397735 | wh 0.798960 | reg 0.194359 | ltrb_amodal 0.772300 | tracking 0.595182 | time 8.950000 | 
2024-09-17-02-37: epoch: 70 |tot 1.329383 | hm 0.388993 | wh 0.785780 | reg 0.193447 | ltrb_amodal 0.778086 | tracking 0.590556 | time 8.933333 | 
